,nama,rating,jumlah_reviewer,tipe,lat,long,alamat,kelurahan,kecamatan,kota,bayesian_rating
556,"X3 Coffee, Resto & Barbershop",4.8,91,Coffee shop,-5.133824,119.4044053,"Kampoeng Popsa, Jalan Ujung Pandang, Bulogading, Ujung Pandang, Makassar, Sulawesi Selatan, Sulawesi, 90171, Indonesia",Bulogading,Ujung Pandang,Makassar,4.618841823595601
1204,Anabanua Coffee,4.7,195,Cafe,-5.1654983,119.4713548,"Bitoa, Manggala, Makassar, Sulawesi Selatan, Sulawesi, 90233, Indonesia",Bitoa,Manggala,Makassar,4.616653863700985
3,Institut KOPI,4.7,183,Coffee shop,-5.1543094,119.4391305,"Jalan Topaz Raya, Masale, Panakkukang, Makassar, Sulawesi Selatan, Sulawesi, 92300, Indonesia",Masale,Panakkukang,Makassar,4.613198445560399
1018,Skena Coffee,4.7,180,Coffee shop,-5.1487837,119.4146447,"Jalan Andi Mappanyukki, Kunjung Mae, Mariso, Makassar, Sulawesi Selatan, Sulawesi, 90131, Indonesia",Kunjung Mae,Mariso,Makassar,4.612289354360969
454,Brew Brothers Coffee HQ,4.7,175,Coffee shop,-5.173088,119.4174824,"Jalan Kumala, Bonto Kamase, Jongaya, Tamalate, Makassar, Sulawesi Selatan, Sulawesi, 90224, Indonesia",Jongaya,Tamalate,Makassar,4.610731134571237
104,JAJINI Co Brewing Space,4.9,54,Coffee shop,-5.1503931,119.431417,"Jalan Monginsidi Baru, Ballaparang, Rappocini, Makassar, Sulawesi Selatan, Sulawesi, 90111, Indonesia",Ballaparang,Rappocini,Makassar,4.610721581662043
1102,Seruput Rempah,4.7,174,Coffee shop,-5.1601683,119.4192762,"Jalan Macan, Bonto Biraeng, Mamajang, Makassar, Sulawesi Selatan, Sulawesi, 90132, Indonesia",Bonto Biraeng,Mamajang,Makassar,4.610412823125929
636,Threeways Kopi,4.8,82,Cafe,-5.136541,119.4106581,"RSIA Kartini, Jalan Kajoalalido, Baru, Ujung Pandang, Makassar, Sulawesi Selatan, Sulawesi, 90171, Indonesia",Baru,Ujung Pandang,Makassar,4.610189838892313
1129,Warkop Daeng Uki,4.8,82,Coffee shop,-5.1598433,119.4192908,"Jalan Tupai VIII, Bonto Biraeng, Mamajang, Makassar, Sulawesi Selatan, Sulawesi, 90132, Indonesia",Bonto Biraeng,Mamajang,Makassar,4.610189838892313
4,Postropis Coffee & Space,4.8,81,Coffee shop,-5.1329919,119.4332702,"Jalan Adipura Raya, Tamajeʼneʼ, Karuwisi Utara, Panakkukang, Makassar, Sulawesi Selatan, Sulawesi, 90152, Indonesia",Karuwisi Utara,Panakkukang,Makassar,4.609177221204681
